'[00:00:00.000 01/01/2011]',-18.600
'[00:00:00.001 01/01/2011]',-20.100
'[00:00:00.002 01/01/2011]',-21.400
'[00:00:00.003 01/01/2011]',-22.200
'[00:00:00.004 01/01/2011]',-22.400
'[00:00:00.005 01/01/2011]',-22.200
'[00:00:00.006 01/01/2011]',-21.900
'[00:00:00.007 01/01/2011]',-21.900
'[00:00:00.008 01/01/2011]',-22.200
'[00:00:00.009 01/01/2011]',-22.700
'[00:00:00.010 01/01/2011]',-23.000
'[00:00:00.011 01/01/2011]',-23.200
'[00:00:00.012 01/01/2011]',-23.100
'[00:00:00.013 01/01/2011]',-22.900
'[00:00:00.014 01/01/2011]',-22.600
'[00:00:00.015 01/01/2011]',-22.200
'[00:00:00.016 01/01/2011]',-21.700
'[00:00:00.017 01/01/2011]',-21.000
'[00:00:00.018 01/01/2011]',-20.500
'[00:00:00.019 01/01/2011]',-20.600
'[00:00:00.020 01/01/2011]',-21.300
'[00:00:00.021 01/01/2011]',-22.500
'[00:00:00.022 01/01/2011]',-23.900
'[00:00:00.023 01/01/2011]',-24.700
'[00:00:00.024 01/01/2011]',-24.900
'[00:00:00.025 01/01/2011]',-24.400
'[00:00:00.026 01/01/2011]',-23.800
'[00:00:00.027 01/01/2011]',-23.400
'[00:00:00.028 01/01/2011]',-23.400
'[00:00:00.029 01/01/2011]',-23.500
'[00:00:00.030 01/01/2011]',-23.500
'[00:00:00.031 01/01/2011]',-23.000
'[00:00:00.032 01/01/2011]',-22.300
'[00:00:00.033 01/01/2011]',-21.800
'[00:00:00.034 01/01/2011]',-22.300
'[00:00:00.035 01/01/2011]',-23.800
'[00:00:00.036 01/01/2011]',-26.000
'[00:00:00.037 01/01/2011]',-28.000
'[00:00:00.038 01/01/2011]',-28.900
'[00:00:00.039 01/01/2011]',-28.100
'[00:00:00.040 01/01/2011]',-26.300
'[00:00:00.041 01/01/2011]',-24.500
'[00:00:00.042 01/01/2011]',-24.000
'[00:00:00.043 01/01/2011]',-25.400
'[00:00:00.044 01/01/2011]',-28.400
'[00:00:00.045 01/01/2011]',-31.600
'[00:00:00.046 01/01/2011]',-33.701
'[00:00:00.047 01/01/2011]',-33.901
'[00:00:00.048 01/01/2011]',-32.300
'[00:00:00.049 01/01/2011]',-29.900
'[00:00:00.050 01/01/2011]',-27.900
'[00:00:00.051 01/01/2011]',-27.100
'[00:00:00.052 01/01/2011]',-27.700
'[00:00:00.053 01/01/2011]',-29.400
'[00:00:00.054 01/01/2011]',-31.600
'[00:00:00.055 01/01/2011]',-34.101
'[00:00:00.056 01/01/2011]',-36.601
'[00:00:00.057 01/01/2011]',-38.901
'[00:00:00.058 01/01/2011]',-40.901
'[00:00:00.059 01/01/2011]',-42.101
'[00:00:00.060 01/01/2011]',-42.401
'[00:00:00.061 01/01/2011]',-42.001
'[00:00:00.062 01/01/2011]',-41.501
'[00:00:00.063 01/01/2011]',-41.401
'[00:00:00.064 01/01/2011]',-42.101
'[00:00:00.065 01/01/2011]',-43.201
'[00:00:00.066 01/01/2011]',-44.601
'[00:00:00.067 01/01/2011]',-45.801
'[00:00:00.068 01/01/2011]',-46.701
'[00:00:00.069 01/01/2011]',-47.401
'[00:00:00.070 01/01/2011]',-47.801
'[00:00:00.071 01/01/2011]',-47.901
'[00:00:00.072 01/01/2011]',-47.601
'[00:00:00.073 01/01/2011]',-46.901
'[00:00:00.074 01/01/2011]',-46.301
'[00:00:00.075 01/01/2011]',-46.201
'[00:00:00.076 01/01/2011]',-46.601
'[00:00:00.077 01/01/2011]',-47.201
'[00:00:00.078 01/01/2011]',-47.401
'[00:00:00.079 01/01/2011]',-46.901
'[00:00:00.080 01/01/2011]',-45.801
'[00:00:00.081 01/01/2011]',-44.901
'[00:00:00.082 01/01/2011]',-44.901
'[00:00:00.083 01/01/2011]',-45.701
'[00:00:00.084 01/01/2011]',-47.001
'[00:00:00.085 01/01/2011]',-47.901
'[00:00:00.086 01/01/2011]',-47.901
'[00:00:00.087 01/01/2011]',-47.101
'[00:00:00.088 01/01/2011]',-46.001
'[00:00:00.089 01/01/2011]',-45.601
'[00:00:00.090 01/01/2011]',-45.901
'[00:00:00.091 01/01/2011]',-46.801
'[00:00:00.092 01/01/2011]',-47.601
'[00:00:00.093 01/01/2011]',-47.601
'[00:00:00.094 01/01/2011]',-47.001
'[00:00:00.095 01/01/2011]',-46.301
'[00:00:00.096 01/01/2011]',-46.101
'[00:00:00.097 01/01/2011]',-46.701
'[00:00:00.098 01/01/2011]',-48.101
'[00:00:00.099 01/01/2011]',-49.501
'[00:00:00.100 01/01/2011]',-50.201
'[00:00:00.101 01/01/2011]',-50.001
'[00:00:00.102 01/01/2011]',-48.801
'[00:00:00.103 01/01/2011]',-47.301
'[00:00:00.104 01/01/2011]',-45.901
'[00:00:00.105 01/01/2011]',-45.101
'[00:00:00.106 01/01/2011]',-45.101
'[00:00:00.107 01/01/2011]',-45.601
'[00:00:00.108 01/01/2011]',-46.401
'[00:00:00.109 01/01/2011]',-47.001
'[00:00:00.110 01/01/2011]',-47.501
'[00:00:00.111 01/01/2011]',-47.701
'[00:00:00.112 01/01/2011]',-47.701
'[00:00:00.113 01/01/2011]',-47.401
'[00:00:00.114 01/01/2011]',-46.801
'[00:00:00.115 01/01/2011]',-46.001
'[00:00:00.116 01/01/2011]',-45.001
'[00:00:00.117 01/01/2011]',-44.201
'[00:00:00.118 01/01/2011]',-43.801
'[00:00:00.119 01/01/2011]',-43.801
'[00:00:00.120 01/01/2011]',-44.101
'[00:00:00.121 01/01/2011]',-44.301
'[00:00:00.122 01/01/2011]',-43.901
'[00:00:00.123 01/01/2011]',-43.001
'[00:00:00.124 01/01/2011]',-41.901
'[00:00:00.125 01/01/2011]',-41.201
'[00:00:00.126 01/01/2011]',-41.201
'[00:00:00.127 01/01/2011]',-41.901
'[00:00:00.128 01/01/2011]',-42.701
'[00:00:00.129 01/01/2011]',-43.301
'[00:00:00.130 01/01/2011]',-43.401
'[00:00:00.131 01/01/2011]',-43.301
'[00:00:00.132 01/01/2011]',-43.601
'[00:00:00.133 01/01/2011]',-44.601
'[00:00:00.134 01/01/2011]',-46.001
'[00:00:00.135 01/01/2011]',-47.101
'[00:00:00.136 01/01/2011]',-47.001
'[00:00:00.137 01/01/2011]',-45.201
'[00:00:00.138 01/01/2011]',-41.401
'[00:00:00.139 01/01/2011]',-35.701
'[00:00:00.140 01/01/2011]',-28.300
'[00:00:00.141 01/01/2011]',-19.200
'[00:00:00.142 01/01/2011]',-8.700
'[00:00:00.143 01/01/2011]',2.700
'[00:00:00.144 01/01/2011]',14.100
'[00:00:00.145 01/01/2011]',24.200
'[00:00:00.146 01/01/2011]',32.000
'[00:00:00.147 01/01/2011]',37.401
'[00:00:00.148 01/01/2011]',40.901
'[00:00:00.149 01/01/2011]',43.501
'[00:00:00.150 01/01/2011]',45.701
'[00:00:00.151 01/01/2011]',47.801
'[00:00:00.152 01/01/2011]',49.001
'[00:00:00.153 01/01/2011]',48.901
'[00:00:00.154 01/01/2011]',47.401
'[00:00:00.155 01/01/2011]',45.301
'[00:00:00.156 01/01/2011]',43.401
'[00:00:00.157 01/01/2011]',42.501
'[00:00:00.158 01/01/2011]',42.401
'[00:00:00.159 01/01/2011]',42.201
'[00:00:00.160 01/01/2011]',40.801
'[00:00:00.161 01/01/2011]',37.001
'[00:00:00.162 01/01/2011]',30.800
'[00:00:00.163 01/01/2011]',22.300
'[00:00:00.164 01/01/2011]',12.100
'[00:00:00.165 01/01/2011]',0.800
'[00:00:00.166 01/01/2011]',-10.700
'[00:00:00.167 01/01/2011]',-21.700
'[00:00:00.168 01/01/2011]',-31.000
'[00:00:00.169 01/01/2011]',-37.601
'[00:00:00.170 01/01/2011]',-41.101
'[00:00:00.171 01/01/2011]',-41.301
'[00:00:00.172 01/01/2011]',-38.801
'[00:00:00.173 01/01/2011]',-34.101
'[00:00:00.174 01/01/2011]',-27.900
'[00:00:00.175 01/01/2011]',-20.800
'[00:00:00.176 01/01/2011]',-13.700
'[00:00:00.177 01/01/2011]',-7.700
'[00:00:00.178 01/01/2011]',-3.600
'[00:00:00.179 01/01/2011]',-1.800
'[00:00:00.180 01/01/2011]',-1.800
'[00:00:00.181 01/01/2011]',-2.600
'[00:00:00.182 01/01/2011]',-3.100
'[00:00:00.183 01/01/2011]',-2.700
'[00:00:00.184 01/01/2011]',-1.500
'[00:00:00.185 01/01/2011]',0.100
'[00:00:00.186 01/01/2011]',1.500
'[00:00:00.187 01/01/2011]',2.500
'[00:00:00.188 01/01/2011]',3.200
'[00:00:00.189 01/01/2011]',4.000
'[00:00:00.190 01/01/2011]',4.900
'[00:00:00.191 01/01/2011]',5.700
'[00:00:00.192 01/01/2011]',6.300
'[00:00:00.193 01/01/2011]',6.600
'[00:00:00.194 01/01/2011]',6.400
'[00:00:00.195 01/01/2011]',6.100
'[00:00:00.196 01/01/2011]',5.800
'[00:00:00.197 01/01/2011]',5.600
'[00:00:00.198 01/01/2011]',5.600
'[00:00:00.199 01/01/2011]',5.700
'[00:00:00.200 01/01/2011]',5.900
